,importance
continental_residual_load,7.847395279845107
fr_spot_la_log,6.0986153663679925
nl_gas,5.493257585582442
fr_thermal_need_x_gas,5.236700680722057
ch_spot_la,5.109865695840088
de_spark_spread,4.921020051475429
at_spot_la,4.426872483609715
eu_emission_roll_168h_mean,4.426497578329889
fr_spot_lag_168h,4.425179279567596
fr_nuclear_rolling_7d_mean,4.331107682177567
fr_residual_change_24h,4.24658597458371
fr_scarcity_ratio,4.184426968482498
de_residual_load,4.032058506877461
de_gas,3.1644068796947216
fr_spot_la,3.062076497236892
fr_asinh_spot_la,2.876310790074135
es_gas,2.792968201033432
uk_residual_x_spark,2.5628539212824597
uk_emission,2.465028139482026
fr_residual_zscore_14d,2.220289590382531
fr_security_margin,2.0874398329189967
nl_spark_spread,2.0067586603353824
fr_residual_load_v2,1.9548099450190806
uk_residual_zscore_14d,1.8068970661985746
fr_spot_lag_48h,1.5265383043639764
es_spot_la,1.4670413085865999
fr_gas,1.4304725449843965
uk_residual_ramp_3h,1.402214553759253
fr_thermal_need,1.2334438200894913
fr_residual_ramp_3h,1.160866811096534
