,shap_importance
uk_spot_la,20.174477090949942
uk_residual_x_spark,14.612134837965117
uk_wind_gap_x_gas,12.207836974377601
uk_spot_la_log,6.94826251965234
uk_thermal_need_x_gas,2.7304536992146264
uk_asinh_spot_la,1.9105900719438382
uk_wind_pen,1.3651008997295142
fr_spot_la,1.3200794491379797
uk_spot_lag_168h,1.3022168951300617
de_gas,1.2550170589808471
continental_wind_pen,1.2333801213047106
nl_spot_la,1.1922225068678167
uk_residual_ramp_3h,1.16127563619575
fr_thermal_need_x_gas,1.0746082393818845
ch_spot_la,1.040493800266649
continental_residual_load,0.920976650307908
es_gas,0.9124790685382119
fr_residual_ramp_3h,0.8982996559799593
fr_nuclear_rolling_7d_mean,0.8936485543700805
uk_supply_demand_ratio,0.8638001434597361
uk_wind_change_24h,0.8330647969569922
uk_emission,0.8307394860376827
de_spark_spread,0.7818832399681179
doy_cos,0.7531919949969502
fr_uk_flow_over_atc,0.7348622615234892
eu_emission_roll_168h_mean,0.7292719333600161
uk_residual_change_24h,0.6919076499768275
uk_wind_pen_squared,0.6554345179121067
nl_spark_spread,0.6315111255684381
fr_security_margin,0.6161295201373299
fr_load_ramp_3h,0.595357625318633
uk_scarcity_ratio,0.5647648592216683
fr_thermal_need,0.564267477097861
fr_river_temp_rhone_lyon_f,0.5633809962073446
fr_spot_la_roll_168h_mean,0.5523201456720644
fr_spot_la_log,0.5238985739029652
de_residual_load,0.5104193838815754
uk_gas_margin,0.46090770343881177
fr_spark_ccgt,0.460639579160212
es_spot_la,0.44326548898812096
fr_nuclear_avcap_f,0.43646770627217485
all_from_uk_atc,0.4245295683101588
uk_load_ramp_3h,0.42233263647487024
uk_thermal_need,0.41729608836288384
uk_spot_lag_48h,0.4048304599522219
fr_residual_change_24h,0.4038809387549343
uk_spark_ccgt,0.34436036496172606
de_wind_pen,0.32310186049049716
hour_cos,0.30321156725998083
nl_wind_f,0.30273606734370884
fr_scarcity_ratio,0.29922036176594574
fr_spot_lag_168h,0.29524320529661685
de_renewable_pen,0.2918952344073311
uk_spark_spread,0.28611625451998823
uk_spot_la_deviation_24h,0.28162164458061445
fr_spark_ocgt,0.2788239692456082
fr_residual_x_spark,0.2612605717179118
hour,0.25085694262223124
fr_gas_roll_168h_mean,0.24876273838394686
uk_residual_zscore_14d,0.24706116193722685
continental_avg_spot_la,0.24654499618506828
uk_total_dispatchable,0.2337116332685188
fr_asinh_spot_la,0.22993861666803483
fr_load_change_24h,0.2282116725741779
hour_sin,0.22628679159931894
eu_emission,0.22405172860862882
uk_spot_la_roll_168h_std,0.21710568914745093
at_spot_la,0.2170721794696208
nl_spot_lag_48h,0.2143713391721376
nl_gas,0.2094149327216977
fr_hydro_change_24h,0.2053753966414667
uk_spot_la_roll_24h_min,0.2007673804272588
uk_fr_utilization,0.19726558933226174
uk_residual_load,0.19424180876608552
cost_uk-fr-3_la,0.19387766711216625
max_utilization_to_uk,0.1926227762204759
uk_wind_ramp_6h,0.19126844635819137
uk_load_zscore_14d,0.18615297276545772
uk_spark_spread_log,0.18086827468865802
de_load_change_24h,0.17871849976259993
de_wind_f,0.1786457793606751
fr_wind_ramp_3h,0.17767264605263947
hour_x_dow,0.1768237515738802
uk_residual_ramp_1h,0.17240663810471094
uk_security_margin,0.17103541962756189
fr_congestion_x_spark_diff,0.17081308148710422
fr_nuclear_x_gas,0.16414258938070084
uk_nuclear_pct_of_load,0.16331384223288678
ch_hydro_res_f,0.16254492770067056
fr_river_temp_rhine_rheinfelden_f,0.16100183485162303
uk_spot_minus_spark,0.1605127698898151
fr_total_dispatchable,0.1598124137744053
fr_thermal_need_pos,0.15960138927198425
es_load_f,0.15935034805199003
fr_uk_unused_capacity,0.15798681379780452
is_evening_peak,0.15330258938915628
doy_sin,0.1512026049423468
atc_nl-uk_f,0.1502554406586824
fr_nuclear_trend_3d,0.14873134905228133
uk_load_ramp_1h,0.1484438656177663
day_of_week,0.14818237007519616
uk_vol_ratio,0.1476921421881941
at_hydro_res_f,0.14706034351407174
fr_river_temp_change_24h,0.14678451987913121
be_spot_la,0.14668834333360378
fr_residual_zscore_14d,0.1447834234824489
de_spot_la,0.14434041568608044
fr_spot_lag_48h,0.1424068340201837
uk_wind_x_gas,0.1413006972256142
atc_uk-fr-2_f,0.13871335686975098
atc_uk-fr-3_f,0.13826838619314236
fr_gas_momentum_24h,0.13783836827796733
nl_uk_utilization,0.13302120974978213
uk_mean_reversion_strength,0.1318329648430671
nl_uk_unused_capacity,0.13021477699226386
uk_fr_atc_total,0.13009636872665456
fr_load_roll_168h_mean,0.1282943152806461
fr_load_ramp_1h,0.12828433139854817
flow_be-uk_la,0.12519187482891267
uk_gas_momentum_24h,0.12262771813839476
fr_spark_spread,0.12034503742435973
fr_baseload_surplus,0.1182866106240029
atc_fr-uk-2_f,0.11813082986041784
all_to_uk_atc,0.11773573512865704
fr_hydro_ror_f,0.11728972786289749
uk_gas_avcap_f,0.11513143694901862
uk_vs_continental_la,0.11344265117352634
uk_price_acceleration,0.1133615458335023
flow_uk-dk1_la,0.11334527548099366
uk_lag_reliability_ratio,0.11326055123526894
fr_residual_ramp_1h,0.11308865909005276
fr_vol_ratio,0.11272175127947165
continental_wind_total,0.11258943781934755
uk_wind_roll_24h_mean,0.11240566132381177
spread_fr_uk_la,0.11127264124689829
fr_supply_demand_ratio,0.10941267547952645
uk_load_change_24h,0.10812528358487614
de_wind_ramp_3h,0.10773668545016668
uk_wind_f,0.10615812795014623
uk_spot_la_roll_24h_mean,0.10611715936816533
atc_uk-be_f,0.10513661027534649
fr_solar_x_load,0.1047271275240634
fr_wind_x_hour,0.10329086548357164
spread_fr_de_la,0.10305772495876735
fr_spot_la_ewm_24h,0.10153518055885587
cost_fr-uk-1_la,0.10073242360176293
alpine_hydro_total,0.09945013791221849
uk_wind_ramp_3h,0.09810301471428605
fr_spot_la_roll_24h_max,0.09794401171677485
fr_baseload_gap_x_gas,0.09623544531318207
spread_uk_nl_la,0.09588156808129376
at_ch_combined_load,0.09431603954838436
uk_gas,0.09404903361460074
de_gas_avcap_f,0.0933120134225648
uk_asinh_spark,0.09328611005717602
cost_nl-uk_la,0.0920083685578509
cost_be-uk_la,0.09050100490690591
fr_gas,0.09006361170525441
uk_spot_change_168h_la,0.09002144270754937
fr_uk_atc_total,0.08998673783124529
dow_sin,0.08868893860943178
days_since_last_holiday_fr,0.08629448777555772
fr_nuclear_change_48h,0.08438238138823219
ch_hydro_total,0.08277143141617134
at_load_f,0.08247520279708274
flow_fr-uk-2_la,0.0821424670197235
uk_wind_x_hour,0.08101358362440884
uk_spot_la_ewm_24h,0.07988548334988928
fr_spot_la_roll_24h_min,0.07957923717774873
uk_wind_ramp_1h,0.07923928589719573
fr_spot_la_roll_168h_std,0.07836314947975097
fr_load_zscore_14d,0.07816433337943056
be_nl_combined_load,0.07793699531132474
uk_gas_roll_168h_mean,0.07767355571550937
itn_load_f,0.07754080887619214
uk_spark_ocgt,0.07727888083811398
fr_gas_margin,0.07727749471010471
be_load_f,0.07727703336076858
uk_spot_la_roll_24h_max,0.07713817853720951
fr_spot_la_deviation_24h,0.077118920486219
fr_baseload_gap_pos,0.0757830399519239
atc_fr-uk-3_f,0.07561328299583867
cost_fr-uk-3_la,0.07489556982001801
uk_wind_volatility_24h,0.0747317813572221
uk_renewable_pen,0.07456990264916834
uk_baseload_gap,0.07429775228127045
at_hydro_total,0.07375331997930569
be_uk_utilization,0.07349712004537592
uk_biomass_avcap_f,0.07160804954292903
spread_uk_be_la,0.07159481952979907
uk_wind_zscore_14d,0.07073388454210232
ch_hydro_ror_f,0.07072095741450518
dk2_spot_la,0.07054829998232949
fr_nuclear_plus_hydro,0.07019666315496087
de_solar_pen,0.07014610202494982
dk1_load_f,0.0697539968959977
fr_solar_change_24h,0.06952587558476699
fr_nuclear_pct_of_load,0.06945985115099451
dk1_spot_la,0.06887326388598594
de_max_river_temp,0.0686925473784327
uk_jump_magnitude_24h,0.06860688020727373
uk_spot_change_24h_la,0.06859671901386431
fr_spark_spread_log,0.06831400903694525
de_river_temp_danube_donauworth_f,0.06822419879528771
uk_solar_pen,0.06815937132251157
fr_spot_la_roll_24h_std,0.06781976110609406
fr_solar_ramp_3h,0.06763098593018853
fr_solar_pen,0.06762054859502087
fr_residual_load_v2,0.06739656057754001
atc_uk-nl_f,0.06737937347268304
dk1_wind_f,0.06681805241661291
fr_uk_avg_cost_la,0.06670428690669697
fr_nuclear_change_168h,0.06656802222184413
uk_nuclear_avcap_f,0.06627787048944071
fr_uk_utilization,0.065806020356462
dk2_wind_f,0.06444831083066722
fr_hydro_res_share,0.06416443652717617
fr_gas_avcap_f,0.06404536321815943
uk_solar_f,0.06351071682728007
fr_wind_f,0.06348600293607845
atc_be-uk_f,0.06315676864407574
cost_uk-fr-1_la,0.06202680068169975
uk_nuclear_change_24h,0.06172093042228975
fr_uk_atc_change_24h,0.061610545371572484
de_river_temp_danube_ingolstadt_f,0.060299807358313515
nl_load_f,0.060146494286868975
fr_spot_change_24h_la,0.06012203494218132
es_hydro_ror_f,0.05983143690134104
fr_wind_zscore_14d,0.05973236390966663
uk_spot_la_deviation_168h,0.058353650414895666
at_hydro_ror_f,0.05791448813994774
fr_wind_pen,0.05782575805665061
spread_fr_uk_momentum,0.05776631699761094
atc_uk-fr-1_f,0.05774998466900045
be_spot_lag_48h,0.057746774964674744
be_wind_f,0.057575407755354434
fr_residual_load,0.056817582994936534
nl_solar_f,0.055537156637927756
dk2_solar_f,0.0545712551300442
continental_load_total,0.05382863619144028
cost_uk-nl_la,0.053589565089845664
total_unused_capacity_to_uk,0.053255192287554244
fr_renewable_pen,0.05307248366514939
nordic_wind_total,0.052154139781519074
uk_load_f,0.05197984238593366
uk_thermal_need_pos,0.051884472535529066
fr_gas_sqrt,0.05182907123605464
flow_uk-nl_la,0.051549201311690926
fr_nuclear_deviation_from_7d,0.051325662943810246
fr_baseload_gap,0.05063490273741037
uk_spot_la_roll_168h_mean,0.04990822079551827
cost_uk-fr-2_la,0.04949066327680938
alpine_hydro_change_168h,0.04938296115709861
fr_wind_volatility_24h,0.04854373278275144
fr_thermal_need_x_nuclear_change,0.04852722970728771
month_cos,0.04829075675966927
uk_spot_la_roll_24h_std,0.048123455665543186
uk_spot_la_roll_24h_range,0.04808254089458064
fr_spot_minus_spark,0.0477913267816828
de_spot_lag_48h,0.04726673854940031
de_load_f,0.04725576208954889
fr_price_acceleration,0.04705359439948462
dk2_load_f,0.04563878808695271
continental_solar_total,0.04541715032780368
be_solar_f,0.04516591753675144
flow_fr-uk-1_la,0.04510394377441982
fr_hydro_res_f,0.04505395195407712
fr_nuclear_ramp_magnitude,0.0441220038677484
atc_fr-uk-1_f,0.043679014250935504
fr_spot_change_168h_la,0.042088815340244584
es_wind_f,0.042040157476981074
de_solar_f,0.04185187276999557
uk_load_roll_168h_mean,0.04180886612845885
spread_de_fr_abs_la,0.04172158689660743
fr_hydro_total,0.04150776818742107
uk_residual_load_squared,0.04128468531917403
be_uk_unused_capacity,0.04118536001551772
cost_fr-uk-2_la,0.04100808128476894
is_holiday_nl,0.04013969442299117
nl_uk_net_flow_la,0.03927397765495258
fr_lag_reliability_ratio,0.03881856977180296
fr_wind_f_clipped,0.0385139854842293
